"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
161.447638797588,199.5,215.707345369609,224.58324062625,230.161878110106,233.986000356266,236.768400276995,238.882694802524,240.543254713263,241.881747250833,248.013082084739,250.095148187009
18.5128205128205,19,19.1642921275113,19.246794344809,19.2964096520172,19.329534015154,19.3532175360929,19.3709928980664,19.3848257181715,19.3958967235717,19.4457684906169,19.4624114104031
10.1279644860139,9.55209449592115,9.2766281531448,9.11718225324642,9.01345516752258,8.94064512077037,8.88674295563427,8.84523845995939,8.81229955520644,8.785524710524,8.6601898019307,8.61657587019732
7.70864742217679,6.94427190999916,6.59138211642558,6.38823290869587,6.25605650216089,6.16313228268863,6.09421092569888,6.04104447611915,5.99877903121025,5.96437055223803,5.80254189325282,5.74587698254355
6.60789097370336,5.78613504334997,5.40945131805649,5.19216777280392,5.05032905763264,4.95028806869432,4.875871695834,4.81831953565687,4.77246561310086,4.73506306969342,4.55813149739652,4.49571226171615
5.9873776072737,5.14325284978472,4.75706266308941,4.53367695027524,4.38737418740613,4.28386571382264,4.20665848786921,4.14680416227653,4.09901554171652,4.0599627943307,3.87418858102651,3.80816426527036
5.59144785122073,4.73741412777588,4.34683139990782,4.12031172689763,3.97152315061134,3.86596885312385,3.78704353992807,3.7257253171227,3.67667469893951,3.63652312062835,3.44452483207532,3.37580750190044
5.31765507157871,4.45897010752451,4.06618055135116,3.8378533545559,3.68749866634003,3.58058031976146,3.50046385504494,3.43810123337316,3.38813023473973,3.34716312023398,3.15032377350285,3.0794064719705
5.11735502919922,4.25649472909375,3.86254835762476,3.63308851141908,3.48165865390152,3.37375364703921,3.29274583891712,3.22958261268677,3.17889310445827,3.1372801078887,2.93645539216144,2.8636523437717
4.96460274373071,4.1028210151304,3.70826481904684,3.47804969076523,3.32583453041301,3.21717454739899,3.13546480462633,3.07165838527904,3.02038294702137,2.97823701608232,2.77401639832112,2.69955123302637
4.84433567494361,3.98229795709448,3.58743370242049,3.35669002113259,3.20387426272962,3.09461288790914,3.0123303430431,2.94799031863863,2.8962227612877,2.85362485827326,2.6464451537303,2.57048912119216
4.74722534672251,3.88529383465239,3.4902948194976,3.25916672690125,3.10587523908412,2.99612037751711,2.91335817901119,2.84856514206768,2.79637548949925,2.75338676883585,2.54358832965296,2.46627914233361
4.66719273182685,3.80556525297806,3.41053364462785,3.17911705254019,3.02543830009826,2.91526923870275,2.83209750163494,2.76691318191775,2.71435578905989,2.67102422855513,2.45888177180146,2.38033392979262
4.60010993666942,3.73889183244073,3.34388867811891,3.11224984796139,2.95824891312219,2.84772599592536,2.76419925677818,2.69867241870931,2.64579073523382,2.60215505104271,2.38789605513758,2.30820701764593
4.54307716526697,3.68232034367324,3.28738210463651,3.05556827590659,2.90129453623616,2.79046499736751,2.7066267822257,2.6407968829069,2.58762643522758,2.54371854969281,2.32753500898829,2.24678915755601
4.49399847766636,3.63372346759163,3.23887151745358,3.00691727992434,2.85240916508199,2.74131082833878,2.65719660022109,2.5910961798744,2.53766653888065,2.49351322128161,2.275569585226,2.19384092290804
4.45132177246813,3.59153056847508,3.19677684094334,2.96470811004108,2.8099961745296,2.69865990162987,2.61429904513332,2.54795535776985,2.4942914945642,2.44991550039425,2.2303542821754,2.1477083618474
