Rank, Institution, country, Total, Alumni, Award, HiCi, NS, SCI, Size
1, Harvard Univ, USA, 100, 98.6, 100, 100, 100, 100, 60.6
2, Stanford Univ, USA, 77.2, 41.2, 72.2, 96.1, 75.2, 72.3, 68.1
3, Univ Cambridge,UK, 76.2, 100, 93.4, 56.6, 58.5, 70.2, 73.2
4, Univ California, USA, 74.2, 70, 76, 74.1, 75.6, 72.7, 45.1
5, Messachusette, USA, 72.4, 74.1, 78.9, 73.6, 69.1, 64.6, 47.5
6, California, USA, 69, 59.3, 66.5, 64.8, 66.7, 53.2, 100 
