No,NAME,ADDR,경도,위도
117,진안도서관,경기도 화성시 병점중앙로 229,127.421987,35.789252
120,와부도서관,경기도 남양주시 와부읍 월문천로 43,127.217517,37.585767
121,화도도서관,경기도 남양주시 화도읍 수레로1260번길 33,127.305899,37.650133
122,진건도서관,경기도 남양주시 진건읍 진건오남로 41-25,127.177437,37.655148
123,평내도서관,경기도 남양주시 평내동 의안로 134,127.238932,37.641761
124,별내도서관,경기도 남양주시 별내면 청학로 86-1,127.117829,37.708225
125,진접도서관,경기도 남양주시 진접읍 금강로 1554-11,127.193212,37.715698
126,진접푸른숲도서관,경기도 남양주시 진접읍 해밀예당2로 35,127.193212,37.715698
127,오남도서관,경기도 남양주시 오남읍 양지로 240번길 12,127.19791,37.697932
128,퇴계원도서관,경기도 남양주시 퇴계원면 도제원로 12,127.145301,37.649066
132,안양시 만안,안양시 만안구 냉천로 51(안양동),126.932434,37.386679
141,평택시립도서관,경기 평택시 비전로 27,127.093756,36.995918
142,평택시립팽성도서관,경기도 평택시 팽성읍 안정로95번길 15-25,127.051705,36.964782
143,평택시립안중도서관,평택시 안중읍 서동대로 1531,126.919201,36.989459
145,평택시립오성도서관,평택시 오성면 오성새싹길 3,126.979766,37.007723
147,평택시립장당도서관,경기도 평택시 장당길 116,127.065233,37.052837
149,의정부과학도서관,경기도 의정부시 추동로 124번길 52 ,127.069141,37.744748
150,의정부정보도서관,경기도 의정부시 의정로 41,127.033866,37.73661
151,의정부어린이도서관,경기도 의정부시 회룡로 79,127.042726,37.726528
153,파주시 중앙도서관,파주시 쇠재로 33,126.770223,37.750134
154,파주시 금촌도서관,경가도 파주시 시민회관길 40,126.779971,37.75855
155,파주시 문산도서관,경기도 파주시 문산읍 개포래로 42,126.783303,37.853152
157,파주시 법원도서관,경기도 파주시 법원읍 사임당로 947,126.886432,37.847486
159,교하도서관,경기도 파주시 숲속노을로 256,126.712505,37.723388
160,한빛도서관,경기도 파주시 와석순환로 94,128.736905,35.304426
161,해솔도서관,경기도 파주시 해솔로 34,126.748197,37.726777
163,가람도서관,경기도 파주시 가람로 116번길 170 ,126.76364,37.730527
164,조리도서관,경기도 파주시 조리읍 내산길 29,126.806608,37.747524
166,물푸레도서관,경기도 파주시 청석로 360,126.720143,37.734082
174,시흥시 신천,경기도 시흥시 신천로 89-18,126.786751,37.443614
178,중봉도서관,경기도 김포시 봉화로130번길 26(북변동),126.706841,37.625705
179,양곡도서관,경기도 김포시 양촌읍 양곡4로 197번길 40,126.631429,37.661673
180, 통진도서관,경기도 김포시 통진읍 조강로 132,126.592017,37.693863
181,광명시하안도서관,경기도 광명시 철망산로 46,126.873688,37.467863
182,광명시광명도서관,경기도 광명시 원광명안로 48,126.873688,37.467863
183,광명시철산도서관,경기도 광명시 철산로 56,126.872131,37.476944
185,광명시충현도서관,경기도 광명시 충현로42번길 19,126.884687,37.434034
186,시립도서관,광주시 문화로 82,127.033866,37.73661
187,오포도서관,광주시 오포읍 오포로 885,127.231378,37.369432
188,초월도서관,경기도 광주시 초월읍 무들로 3-26,127.291096,37.387346
189,곤지암도서관,광주시 곤지암읍 곤지암로 11번길 47,127.341035,37.348935
194,군포시 당동,경기도 군포시 산본로 197번길 36,126.9414568,37.34868021
201,중앙도서관,경기도 오산시 운암로 85,126.851357,37.465196
202,꿈두레도서관  ,경기도 오산시 세마역로 20,127.045398,37.181508
203,초평도서관,경기도 오산시 발안로 1353-11,127.046564,37.142485
205,청학도서관,경기도 오산시 청학로 65,127.063951,37.155066
206,양산도서관,경기도 오산시 양산로 410번길 34,127.032233,37.194256
207,하남시나룰도서관 ,경기도 하남시 덕풍북로 180,127.20838,37.553382
208,하남시신장도서관,경기도 하남시 하남대로 740,127.214351,37.537912
210,꿈나무도서관,경기도 양주시 백석읍 꿈나무로 199,127.516681,34.959958
211,남면도서관,경기도 양주시 남면 개나리17길 24,126.975953,37.898258
212,덕계도서관,경기도 양주시 평화로 1475번길 39(덕계동),127.046751,37.821767
216,고읍도서관,경기도 양주시 고읍남로 207,127.084755,37.791613
217,인창도서관,경기도 구리시 건원대로 34번길 90,127.145885,37.60485
218,토평도서관,경기도 구리시 장자대로140,127.145662,37.586267
219,교문도서관,경기도 구리시 안골로30번길 45,127.134552,37.595182
220,안성시립중앙도서관,안성시 안성맞춤대로 1150,127.26835,37.015363
221,안성시립공도도서관,안성시 공도읍 공도5로 26,127.172721,37.00353
222,안성시립보개도서관,경기도 안성시 보개면 종합운동장로 205,127.322373,37.015084
223,안성시립진사도서관,안성시 공도읍 진사2길 70,127.144474,36.994086
225,포천시립중앙도서관,경기도 포천시 신북면 중앙로 207번길 26,127.206347,37.905314
226,포천시립소흘도서관,경기도 포천시 소흘읍 송우로 101-29,127.13755,37.829627
228,포천시립일동도서관,경기도 포천시 일동면 화동로 1021,127.315504,37.954921
229,포천시립영북도서관,경기도 포천시 영북면 운천안길 3,127.2742,38.087794
230,포천시립영중꿈나무도서관,경기도 포천시 영북면 양문로 151,127.245094,38.005469
231,중앙도서관,경기도 의왕시 골우물길 49(고천동),126.851357,37.465196
233,글로벌도서관,경기도 의왕시 보식골로 30-10,126.969374,37.342267
234,여주도서관,경기도 여주시 여양로 190-17,127.651007,37.29972
235,세종도서관,경기도 여주시 영릉로 125,127.268355,36.498866
242,동두천시립도서관,경기도 동두천시 상패로 60,127.047639,37.90673
243,동두천꿈나무정보도서관,경기도 동두천시 지행로 38,127.051362,37.89212
244,정보과학도서관,경기도 과천시 중앙로 24,126.989677,37.418759
245,문원도서관,경기도 과천시 문원로 104,127.007454,37.424951
246,중앙도서관,경기도 가평군 가평읍 가화로 64,126.851357,37.465196
247,설악도서관,경기도 가평군 설악면 자잠로 65,127.490963,37.683315
248,조종도서관,경기도 가평군 조종면 조종희망로 26번길22,127.353031,37.818297
249,청평도서관,경기도 가평군 청평면 은고개로 31,127.42419,37.739613
251,연천군 연천,경기도 연천군 연천읍 차현로 76-7,127.07047,38.024049
2,경기도립평택도서관,경기도 평택시 서정북로 125번길 103,127.062708,37.073133
3,경기도립광주도서관,경기도 광주시 경안안길 58번길 3,127.255308,37.410821
