"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
647.789011477844,799.499999999999,864.162972163528,899.583310178036,921.847903299708,937.111083448201,948.216889093933,956.6562206031,963.284578946758,968.627443676965,993.102804576248,1001.41440808794
38.506329113924,39,39.1654945640136,39.2484176581315,39.2982277754033,39.3314579624103,39.3552052921861,39.3730220687024,39.3868832825513,39.3979745978644,39.4479113033782,39.4645662488393
17.4434433207251,16.0441064292772,15.4391823787473,15.1009789320459,14.884822920642,14.7347184130391,14.6243950222413,14.5398865704172,14.4730806517737,14.4189420421274,14.1673813814,14.0805233732639
12.2178626330711,10.6491106406735,9.97919853224388,9.60452988472286,9.36447081580829,9.19731107936621,9.07414105156805,8.97958041501104,8.90468161459859,8.84388097352142,8.55994318705354,8.46127401385552
10.0069821966136,8.43362073943278,7.76358948201854,7.38788575126775,7.14638182873283,6.97770185853557,6.85307562857665,6.75717200739468,6.6810543464609,6.61915433142497,6.32855523513256,6.22687890250677
8.81310062867007,7.25985568006018,6.59879852195647,6.22716116435764,5.98756512604693,5.81975657896078,5.69547047368318,5.59962300504305,5.52340662397559,5.46132371873179,5.16840093806999,5.0652268419827
8.07266888013557,6.54152029709565,5.88981916720325,5.52259434530855,5.28523685150428,5.11859661338411,4.99490921906324,4.89934064826823,4.82321708462294,4.76111643499681,4.46673962021407,4.36239304589719
7.57088209969174,6.05946743746348,5.41596233956024,5.05263221736351,4.81727555526553,4.65169553730046,4.52856214736386,4.43325988918238,4.35723306496021,4.29512696017259,3.9994529707283,3.89401591662926
7.20928324752201,5.71470538638306,5.07811865222871,4.71807845812819,4.48441131418504,4.31972183329289,4.19704663694551,4.10195569693975,4.02599415828298,3.96386515762253,3.66690550345882,3.56041018323358
6.93672816629698,5.45639552591273,4.82562149340541,4.46834157822528,4.23608566818863,4.07213131505824,3.94982406893931,3.85489087968523,3.77896263409158,3.71679186459736,3.41854351618504,3.3110166678155
6.72412966023918,5.25588931192073,4.63002496182934,4.27507159633661,4.04399822206869,3.88065116891005,3.75863791838007,3.66381903428787,3.58789866910655,3.525671715888,3.22614477496477,3.11761680871634
6.55376875300565,5.09586716578394,4.47418480963775,4.12120861852344,3.89113393390239,3.72829211539251,3.60651464222045,3.51177673631482,3.43584564186106,3.37355284983531,3.07277252355279,2.96327798724817
6.41425430025058,4.96526572290434,4.34717808270985,3.99589755349417,3.76667405523333,3.60425639404683,3.48266932934265,3.38798732538961,3.31203241005311,3.24966795013312,2.94767084668869,2.83724703460075
6.29793863110295,4.85669786067517,4.24172763035919,3.89191443776571,3.66342311398309,3.50136493600155,3.37993287765293,3.28528801862453,3.20930034089669,3.14686119355758,2.84369122275466,2.73237671312317
6.19950093780111,4.7650482838882,4.15280403006288,3.80427134184101,3.57641534927906,3.41466465773577,3.29335981373231,3.19873807854076,3.12271172630333,3.06019685141125,2.755901950978,2.64373547093339
6.11512719770036,4.68666540109795,4.07682306196248,3.72941654559305,3.50211633550588,3.34063093954695,3.2194313183203,3.12482221430227,3.04875345803668,2.98616317443406,2.68079296081215,2.56781259801986
6.04201334395712,4.6188743275144,4.01116311807388,3.66475409103621,3.4379437009101,3.27668904030837,3.15557709067936,3.06097275639898,2.9848594289141,2.92219496724492,2.61579913892969,2.50204183056636
5.97805246478961,4.55967171265201,3.95386336494897,3.60834357189544,3.38196780587524,3.22091530748986,3.09987690169424,3.00527144567751,2.92911249312326,2.86637567883309,2.55900297384268,2.44450419749009
5.92163126233665,4.50752799516868,3.90342849182294,3.55870609858558,3.33271837280472,3.17184420394342,3.05086787539847,2.956256888735,2.8800520467238,2.81724507725838,2.50894262108441,2.3937362262841
